day,floret,treatment,time,length (mm),ZT
1,1,East,5:30,8.316933196,-1
1,2,East,5:30,8.423716791,-1
1,3,East,5:30,8.717806938,-1
1,1,East,5:45,8.982383333,-0.75
1,2,East,5:45,8.976116667,-0.75
1,3,East,5:45,9.294666667,-0.75
1,1,East,6:00,7.738371429,-0.5
1,2,East,6:00,7.369042857,-0.5
1,3,East,6:00,7.498414286,-0.5
1,1,East,6:15,8.275997744,-0.25
1,2,East,6:15,8.148258273,-0.25
1,3,East,6:15,8.366134365,-0.25
1,1,East,6:30,8.313262902,0
1,2,East,6:30,8.099436077,0
1,3,East,6:30,8.092279963,0
1,1,East,6:45,8.232736842,0.25
1,2,East,6:45,8.369434211,0.25
1,3,East,6:45,8.283315789,0.25
1,1,East,7:00,8.867571429,0.5
1,2,East,7:00,9.148964286,0.5
1,3,East,7:00,8.925559524,0.5
1,1,East,7:15,8.589425046,0.75
1,2,East,7:15,8.662342729,0.75
1,3,East,7:15,8.881095777,0.75
1,1,East,7:30,9.754751645,1
1,2,East,7:30,9.240790522,1
1,3,East,7:30,9.48706553,1
1,1,East,7:45,9.5669875,1.25
1,2,East,7:45,9.048475,1.25
1,3,East,7:45,10.1141125,1.25
1,1,East,8:00,10.19280305,1.5
1,2,East,8:00,10.65620607,1.5
1,3,East,8:00,10.57795565,1.5
1,1,East,8:15,11.56992707,1.75
1,2,East,8:15,11.53091471,1.75
1,3,East,8:15,11.3876716,1.75
1,1,East,8:30,10.88101365,2
1,2,East,8:30,10.65840156,2
1,3,East,8:30,10.86088109,2
1,1,East,8:45,11.52089474,2.25
1,2,East,8:45,12.31382895,2.25
1,3,East,8:45,12.07442105,2.25
1,1,East,9:00,12.93945714,2.5
1,2,East,9:00,12.81587143,2.5
1,3,East,9:00,NA,2.5
1,1,East,9:15,12.50712474,2.75
1,2,East,9:15,12.63898634,2.75
1,3,East,9:15,12.60893561,2.75
1,1,East,9:30,12.27231579,3
1,2,East,9:30,12.18903947,3
1,3,East,9:30,11.74632895,3
1,1,West,5:30,7.53369697,-1
1,2,West,5:30,7.404227273,-1
1,3,West,5:30,7.655212121,-1
1,1,West,5:45,7.190861111,-0.75
1,2,West,5:45,7.409222222,-0.75
1,3,West,5:45,7.359638889,-0.75
1,1,West,6:00,7.430638889,-0.5
1,2,West,6:00,7.284888889,-0.5
1,3,West,6:00,7.683972222,-0.5
1,1,West,6:15,6.971865181,-0.25
1,2,West,6:15,7.078775112,-0.25
1,3,West,6:15,6.841045416,-0.25
1,1,West,6:30,7.345282467,0
1,2,West,6:30,7.03689493,0
1,3,West,6:30,7.13006407,0
1,1,West,6:45,7.491,0.25
1,2,West,6:45,7.380097826,0.25
1,3,West,6:45,7.347586957,0.25
1,1,West,7:00,7.382223404,0.5
1,2,West,7:00,7.462904255,0.5
1,3,West,7:00,7.607489362,0.5
1,1,West,7:15,7.630922879,0.75
1,2,West,7:15,7.451207709,0.75
1,3,West,7:15,7.565054615,0.75
1,1,West,7:30,7.748950862,1
1,2,West,7:30,7.949966869,1
1,3,West,7:30,8.135394023,1
1,1,West,7:45,8.376,1.25
1,2,West,7:45,8.481575,1.25
1,3,West,7:45,8.632025,1.25
1,1,West,8:00,8.643049288,1.5
